nombre,clase,fecha,enlace
PingCTF,1-facil,07-2025,https://gestion-maquinas.dockerlabs.es/dl/ping_ctf.zip
ApkAdmin,1-facil,07-2026,https://gestion-maquinas.dockerlabs.es/dl/apkadmin.zip
kmspwned,1-facil,07-2026,https://gestion-maquinas.dockerlabs.es/dl/kmspwned.zip
BaluHome,2-medio,07-2026,https://gestion-maquinas.dockerlabs.es/dl/baluhome.zip
Psycho,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/psycho.zip
Candy,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/candy.zip
Backend,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/backend.zip
Vulnvault,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/vulnvault.zip
Mirame,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/mirame.zip
Pressenter,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/pressenter.zip
Pntopntobarra,1-facil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/pntopntobarra.zip
Dance-Samba,2-medio,08-2024,https://gestion-maquinas.dockerlabs.es/dl/dance-samba.zip
404-not-found,2-medio,08-2024,https://gestion-maquinas.dockerlabs.es/dl/404-not-found.zip
Inj3ct0rss,2-medio,08-2024,https://gestion-maquinas.dockerlabs.es/dl/Inj3ct0rss.zip
Sites,2-medio,08-2024,https://gestion-maquinas.dockerlabs.es/dl/sites.zip
Mapache2,2-medio,08-2024,https://gestion-maquinas.dockerlabs.es/dl/mapache2.zip
Grandma,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/grandma.zip
Crackoff,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/crackoff.zip
DebugMe,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/debugme.zip
Lfi.elf,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/lfi.elf.zip
HackMeDaddy,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/HackMeDaddy.zip
Buffered,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/buffered.zip
Road to Olympus,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/Road_To_Olympus.zip
DoubleFlow,3-dificil,08-2024,https://gestion-maquinas.dockerlabs.es/dl/doubleflow.zip
Waffy,3-dificil,08-2025,https://gestion-maquinas.dockerlabs.es/dl/waffy.zip
hannah_coffee,1-facil,08-2026,https://gestion-maquinas.dockerlabs.es/dl/hannah_coffee.zip
Los 3 Hackers,1-facil,08-2026,https://gestion-maquinas.dockerlabs.es/dl/los3hackers.zip
PipePwned,2-medio,08-2026,https://gestion-maquinas.dockerlabs.es/dl/pipepwned.zip
Pequeñas-Mentirosas,1-facil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/pequenas-mentirosas.zip
Balulero,1-facil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/balulero.zip
JenkHack,1-facil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/jenkhack.zip
Paradise,1-facil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/paradise.zip
Apolos,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/apolos.zip
0xc0ffee,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/0xc0ffee.zip
chmod-4755,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/chmod-4755.zip
Rubiks,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/Rubiks.zip
Memesploit,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/memesploit.zip
ChatMe,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/chatme.zip
Devil,2-medio,09-2024,https://gestion-maquinas.dockerlabs.es/dl/devil.zip
Insecure,3-dificil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/insecure.zip
r00tless,3-dificil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/r00tless.zip
Queuemedic,3-dificil,09-2024,https://gestion-maquinas.dockerlabs.es/dl/Queuemedic.zip
SpiderRoot,2-medio,09-2025,https://gestion-maquinas.dockerlabs.es/dl/SpiderRoot.zip
Allien,1-facil,10-2024,https://gestion-maquinas.dockerlabs.es/dl/allien.zip
FindYourStyle,1-facil,10-2024,https://gestion-maquinas.dockerlabs.es/dl/findyourstyle.zip
Stellarjwt,1-facil,10-2024,https://gestion-maquinas.dockerlabs.es/dl/stellarjwt.zip
Report,2-medio,10-2024,https://gestion-maquinas.dockerlabs.es/dl/report.zip
HedgeHog,0-muy-facil,11-2024,https://gestion-maquinas.dockerlabs.es/dl/hedgehog.zip
File,1-facil,11-2024,https://gestion-maquinas.dockerlabs.es/dl/file.zip
Swiss,2-medio,11-2024,https://gestion-maquinas.dockerlabs.es/dl/swiss.zip
HackZones,2-medio,11-2024,https://gestion-maquinas.dockerlabs.es/dl/hackzones.zip
BruteShock,2-medio,11-2024,https://gestion-maquinas.dockerlabs.es/dl/bruteshock.zip
Subversion,3-dificil,11-2024,https://gestion-maquinas.dockerlabs.es/dl/subversion.zip
Aidor,1-facil,11-2025,https://gestion-maquinas.dockerlabs.es/dl/aidor.zip
